culture,collector,tuner,show-crowd,racer,daily-drivers,touge
exotic,1.00,0.60,0.90,0.70,0.15,0.35
kyusha,1.00,0.35,0.65,0.20,0.15,0.40
kurokan,0.85,0.40,0.60,0.20,0.55,0.30
oddball,0.85,0.50,0.75,0.35,0.50,0.40
rotary,0.80,0.90,0.85,0.85,0.30,0.85
touring-car,0.55,0.70,0.60,1.00,0.60,0.70
rally-bred,0.60,0.85,0.55,0.95,0.45,0.75
wangan,0.45,1.00,0.90,0.80,0.25,0.55
kei,0.40,0.45,0.70,0.35,0.95,0.50
touge,0.35,0.85,0.65,0.90,0.40,1.00
drift,0.25,0.95,1.00,0.60,0.30,0.95
front-drive-tuner,0.25,0.85,0.70,0.70,0.80,0.80
honest-transport,0.20,0.30,0.30,0.30,1.00,0.25
