ourId,ourName,forzaName,forzaYear,matchStatus,ps,nm,kg,frontPct,displacementCc,drivetrain,pi,lateralG97,lateralG193,brake97m,brake161m,accel097s,accel0161s,topSpeedKmh,mechBalance,aeroBalance,aeroEfficiency,wikiAgrees,notes
honda-city-e-aa,Honda City E (AA),1984 Honda City E II,1984,exact,62.8599,97.6190,669.9559,60,1230,FWD,203,0.86,0.97,48.8899,,12.514,,140.9785,0.46,0.45,0.75,yes,"Forza models the later City E II of the same AA generation; power and torque identical, kerb 670 against our 690 kg."
suzuki-wagon-r-ct21s,Suzuki Wagon R (CT21S),,,not-in-fh6,,,,,,,,,,,,,,,,,,absent,No Suzuki marque in FH6 at all.
suzuki-alto-works-ha21s,Suzuki Alto Works (HA21S),,,not-in-fh6,,,,,,,,,,,,,,,,,,absent,No Suzuki marque in FH6 at all.
honda-civic-sir2-eg6,Honda Civic SiR-II (EG6),,,not-in-fh6,,,,,,,,,,,,,,,,,,absent,FH6 has no EG-generation Civic. Its 1991 CRX SiR is the EF chassis and is mapped to our CR-X SiR instead.
toyota-sprinter-trueno-ae86,Toyota Sprinter Trueno (AE86),1985 Toyota Sprinter Trueno GT Apex,1985,exact,129.7754,149.1402,949.8224,53,1590,RWD,376,0.84,0.84,48.7375,121.2190,8.640,25.743,201.6508,0.48,0.00,0.85,yes,Same AE86 GT Apex; identical PS and N.m.
nissan-silvia-ks-s14,Nissan Silvia K's (S14),1994 Nissan Silvia K's,1994,exact,220.0098,273.8756,1265.0691,54,2000,RWD,499,0.90,0.94,45.8419,112.3493,6.229,17.209,256.3685,0.47,0.44,0.87,yes,"S14 K's, SR20DET. Identical output."
mazda-rx7-fd3s,Mazda RX-7 (FD3S),1992 Mazda RX-7 Type R,1992,exact,255.4952,294.2129,1260.0796,50,1310,RWD,548,0.92,0.95,44.1960,109.3318,5.240,13.000,285.6586,0.51,0.38,0.89,yes,"Early FD3S Type R. Identical PS, N.m, kg and front%. Hand-measured car."
toyota-supra-rz-jza80,Toyota Supra RZ (JZA80),1998 Toyota Supra RZ,1998,exact,324.4384,427.0833,1510.0090,53,3000,RWD,529,0.92,0.94,42.7634,106.4057,5.252,12.385,282.9227,0.48,0.43,0.88,yes,"Same JZA80 RZ. NOTE: our spec book's gkg=1590 disagrees with Forza's 1510 kg (FH5 also reads 1510), so gkg looks wrong."
nissan-skyline-gtr-bnr32,Nissan Skyline GT-R (BNR32),1992 Nissan Skyline GT-R,1992,variant-differs,279.8281,352.5132,1480.0719,59,2570,AWD,541,0.90,0.94,42.2148,106.2533,4.923,12.738,267.9558,0.44,0.50,0.84,yes,"MAINTAINER-FLAGGED TRAP. Ours is 1989, 320 PS (real output), 1430 kg. Forza's is 1992, 280 PS (JDM claimed), 1480 kg, 59% front. Hand-measured car; Forza's figures are the ones the model must reproduce."
porsche-911-turbo-930*,Porsche 911 Turbo (930),1982 Porsche 911 Turbo 3.3,1982,exact,300.1055,412.1693,1299.9957,40,3300,RWD,550,0.91,0.93,39.6850,100.1878,5.028,12.002,251.5405,0.60,0.30,0.82,yes,Same 930 3.3. Identical PS and N.m; 1300 against our 1290 kg.
honda-civic-type-r-ek9*,Honda Civic Type R (EK9),1997 Honda Civic Type R,1997,exact,184.5243,159.9868,1089.9825,62,1600,FWD,430,0.87,0.89,45.5371,114.9096,5.657,17.280,243.1719,0.59,0.52,0.87,yes,EK9. Identical PS and N.m; 1090 against our 1040 kg.
honda-integra-type-r-dc2*,Honda Integra Type R (DC2),2001 Acura Integra Type-R,2001,variant-differs,197.7047,176.2566,1197.0303,62,1800,FWD,471,0.90,0.91,44.0131,111.6787,6.152,14.506,250.5749,0.59,0.47,0.87,yes,"MAINTAINER-FLAGGED TRAP: filed under Acura, not Honda. US-market DC2 facelift at 198 PS / 1197 kg against our JDM 200 PS / 1060 kg, so 137 kg (+13%) heavier. Hand-measured car."
honda-prelude-si-vtec-bb4,Honda Prelude Si VTEC (BB4),1994 Honda Prelude Si,1994,variant-differs,162.2192,211.5079,1301.8101,62,2260,FWD,410,0.88,0.89,44.3484,113.9342,7.168,20.461,220.8020,0.53,0.52,0.87,yes,"Forza's is the US-market 2.26 L H23 Prelude Si, 162 PS / 1302 kg, against our JDM H22A Si VTEC at 200 PS / 1240 kg. Different engine, 19% less power."
honda-crx-sir-ef8,Honda CR-X SiR (EF8),1991 Honda CRX SiR,1991,exact,160.1915,151.8518,980.2131,62,1600,FWD,465,0.89,0.88,45.2933,116.0678,7.162,20.441,250.4139,0.46,0.00,0.89,yes,"EF-chassis CR-X SiR, B16A. Identical PS and N.m."
honda-city-turbo-ii-aa,Honda City Turbo II (AA),,,not-in-fh6,,,,,,,,,,,,,,,,,,absent,FH6 carries only the naturally aspirated City E II at 63 PS; there is no Turbo II.
toyota-starlet-glanza-v-ep91*,Toyota Starlet Glanza V (EP91),1996 Toyota Starlet Glanza V,1996,exact,134.8447,155.9193,949.8224,65,1330,FWD,435,0.86,0.88,45.7810,115.8545,7.860,21.688,222.8941,0.42,0.53,0.87,yes,Same EP91 Glanza V.
nissan-180sx-rps13,Nissan 180SX (RPS13),1993 Nissan 240SX,1993,variant-differs,157.1499,216.9312,1322.2218,53,2390,RWD,339,0.82,0.83,48.8594,120.7618,8.332,24.706,221.6067,0.48,0.43,0.88,yes,"LOUD FLAG: Forza's is the US-market S13 240SX with the 2.39 L naturally aspirated KA24DE, 157 PS / 1322 kg. Ours is the JDM 180SX with the 2.0 L SR20DET turbo, 205 PS / 1220 kg. Same chassis family, entirely different engine, 23% less power. FH6's other S13, the 1994 240SX SE, carries no spec data at all."
toyota-chaser-tourer-v-jzx90,Toyota Chaser Tourer V (JZX90),1991 Toyota Chaser GT Twin Turbo,1991,variant-differs,279.8281,362.0039,1539.9461,52,2490,RWD,484,0.86,0.87,47.2135,116.7079,5.933,14.526,256.8513,0.48,0.37,0.85,yes,FH6 has no JZX90. Forza's 1991 Chaser GT Twin Turbo is the preceding JZX81 generation: same 1JZ-GTE and near-identical torque (362 against our 363 N.m) but 1540 against our 1450 kg. Our JZX100 entry takes Forza's 1997 Chaser 2.5 Tourer V.
nissan-silvia-s13,Nissan Silvia (S13),1989 Nissan Silvia K's,1989,variant-differs,175.3995,225.0661,1139.8776,53,1810,RWD,500,0.96,1.02,38.3438,91.0438,6.055,17.195,235.2861,0.48,0.62,0.86,no,"LOUD FLAG: Forza's 1989 S13 K's runs the 1.81 L CA18DET at 175 PS / 1121 kg. Ours is the SR20DET 2.0 at 205 PS / 1150 kg. Same S13 generation, earlier engine, 15% less power.  || WEIGHT CONFLICT: ForzaLabs 2472 lbs vs Forza Wiki 2513 lbs; kudosprime reads 1140 kg, so Forza Wiki wins and 1139.9 kg is used  || wiki disagrees on weight wiki 2513 vs ForzaLabs 2472; front% wiki 54 vs ForzaLabs 53"
nissan-cefiro-a31,Nissan Cefiro (A31),,,not-in-fh6,,,,,,,,,,,,,,,,,,absent,No Cefiro in FH6.
nissan-laurel-c33*,Nissan Laurel (C33),,,not-in-fh6,,,,,,,,,,,,,,,,,,absent,No Laurel in FH6.
toyota-chaser-tourer-v-jzx100*,Toyota Chaser Tourer V (JZX100),1997 Toyota Chaser 2.5 Tourer V,1997,exact,279.8281,376.9180,1480.0719,57,2490,RWD,504,0.89,0.90,46.4820,115.3668,5.852,14.530,246.0687,0.45,0.42,0.84,yes,"JZX100 Tourer V. Identical PS, 377 against our 378 N.m, identical 1480 kg."
