# Forza Horizon 6 car data. Source: https://forza.labsgg.com/cars (per-car pages https://forza.labsgg.com/cars/{slug}).
# Date fetched: 2026-07-26. Cars: 634.
# These are third-party transcriptions of the game's own in-game stats panel. They are not first-party data and not independent measurements.
# Raw imperial values are as published. Metric columns are unrounded conversions: PS=hp*1.01387 Nm=lbft*1.35582 kg=lbs*0.45359237 m=ft*0.3048 kmh=mph*1.609344.
# Columns prefixed src_ are the site's own keys, verbatim and unrenamed.
# Skip lines beginning with # to read this file.
id,slug,url,year,manufacturer,carName,fullCarName,carType,rarity,unlockCategory,howToUnlock,priceCr,pi,piClass,drivetrain,powerHp,powerPs,torqueLbFt,torqueNm,weightLbs,weightKg,displacementL,frontWeightPct,accel0to60MphSec,accel0to100MphSec,braking60to0Ft,braking60to0M,braking100to0Ft,braking100to0M,lateralG60Mph,lateralG120Mph,topSpeedMph,topSpeedKmh,aeroEfficiency,mechBalance,aeroBalance,barSpeed,barHandling,barAcceleration,barLaunch,barBraking,barOffroad,specStatus,detailPageVerified,heroImageUrl,cardImageUrl,src_id,src_manufacturer,src_manufacturerIndex,src_manufacturerVehicleIndex,src_carName,src_fullCarName,src_year,src_carType,src_rarity,src_unlockCategory,src_howToUnlock,src_defaultDrivetrain,src_price,src_defaultPower,src_defaultTorque,src_defaultWeight,src_defaultFrontDisplacement,src_defaultEngineDisplacement,src_defaultRating,src_defaultSpeed,src_defaultHandling,src_defaultAcceleration,src_defaultLaunch,src_defaultBraking,src_defaultOffroad,src_brake60,src_brake100,src_accel60,src_accel100,src_topSpeed,src_lateral60,src_lateral120,src_mechBalance,src_aeroBalance,src_aeroEfficiency,src_createdAt,src_updatedAt
5977,1968-abarth-595-esseesse,https://forza.labsgg.com/cars/1968-abarth-595-esseesse,1968,Abarth,595 esseesse,1968 Abarth 595 esseesse,CULT CARS,COMMON,Autoshow,,25000,100,D,RWD,28,28.388360000000002,34,46.09788,1257,570.16560909,0.59,42,27.861,,183,55.778400000000005,,,0.73,0.73,73.9,118.93052160000002,0.85,0.59,0,2.6,3.8,1.7,2.6,2,5.2,below-test-speed,True,"https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_85,w_800/FH6/FULL_CARS/1968_Abarth_595_esseesse.png","https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_auto,w_330/FH6/CAR_ICON/1968_Abarth_595_esseesse.png",5977,Abarth,,,595 esseesse,1968 Abarth 595 esseesse,1968,CULT CARS,COMMON,Autoshow,,RWD,25000,28,34,1257,42,0.59,100,2.6,3.8,1.7,2.6,2,5.2,183,,27.861,,73.9,0.73,0.73,0.59,0,0.85,1777888390000,1779343742000
785,1980-abarth-fiat-131,https://forza.labsgg.com/cars/1980-abarth-fiat-131,1980,Abarth,Fiat 131,1980 Abarth Fiat 131,CLASSIC RALLY,COMMON,Autoshow,,125000,399,D,RWD,140,141.9418,130,176.2566,2161,980.21311157,2,54,8.052,23.675,154.3,47.030640000000005,380.2,115.88496,0.89,0.9,120.1,193.28221440000002,0.83,0.35,0.47,4.3,4.1,4.1,3.9,3.2,5.9,complete,True,"https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_85,w_800/FH6/FULL_CARS/1980_Abarth_Fiat_131.png","https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_auto,w_330/FH6/CAR_ICON/1980_Abarth_Fiat_131.png",785,Abarth,,,Fiat 131,1980 Abarth Fiat 131,1980,CLASSIC RALLY,COMMON,Autoshow,,RWD,125000,140,130,2161,54,2,399,4.3,4.1,4.1,3.9,3.2,5.9,154.3,380.2,8.052,23.675,120.1,0.89,0.9,0.35,0.47,0.83,1776324517000,1779475166000
786,2016-abarth-695-biposto,https://forza.labsgg.com/cars/2016-abarth-695-biposto,2016,Abarth,695 Biposto,2016 Abarth 695 Biposto,HOT HATCH,COMMON,Festival Playlist,,237500,540,B,FWD,186,188.57982,183,248.11506,2198,996.99602926,1.37,64,5.703,16.609,116,35.3568,290.8,88.63584,1.05,1.1,138.7,223.2160128,0.84,0.59,0.57,4.9,5.3,4.7,3.9,4.8,5,complete,True,"https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_85,w_800/FH6/FULL_CARS/2016_Abarth_695_Biposto.png","https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_auto,w_330/FH6/CAR_ICON/2016_Abarth_695_Biposto.png",786,Abarth,,,695 Biposto,2016 Abarth 695 Biposto,2016,HOT HATCH,COMMON,Festival Playlist,,FWD,237500,186,183,2198,64,1.37,540,4.9,5.3,4.7,3.9,4.8,5,116,290.8,5.703,16.609,138.7,1.05,1.1,0.59,0.57,0.84,1776324517000,1780168418000
6251,2017-abarth-124-spider,https://forza.labsgg.com/cars/2017-abarth-124-spider,2017,Abarth,124 Spider,2017 Abarth 124 Spider,MODERN SPORTS CARS,RARE,Festival Playlist,Series 3 Reward,237500,450,C,RWD,165,167.28855000000001,184,249.47088,2477,1123.54830049,1.37,54,6.716,18.8,146.4,44.62272,360.9,110.00232,0.91,0.93,143.1,230.2971264,0.89,0.46,0.39,5.2,4.7,3.8,4.6,3.3,5.5,complete,True,"https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_85,w_800/FH6/FULL_CARS/2017_Abarth_124_Spider.png","https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_auto,w_330/FH6/CAR_ICON/2017_Abarth_124_Spider.png",6251,Abarth,,,124 Spider,2017 Abarth 124 Spider,2017,MODERN SPORTS CARS,RARE,Festival Playlist,Series 3 Reward,RWD,237500,165,184,2477,54,1.37,450,5.2,4.7,3.8,4.6,3.3,5.5,146.4,360.9,6.716,18.8,143.1,0.91,0.93,0.46,0.39,0.89,1783971437000,1784804330000
787,2001-acura-integra-type-r,https://forza.labsgg.com/cars/2001-acura-integra-type-r,2001,Acura,Integra Type-R,2001 Acura Integra Type-R,RETRO HOT HATCH,COMMON,Autoshow,,65000,471,C,FWD,195,197.70465000000002,130,176.2566,2639,1197.03026443,1.8,62,6.152,14.506,144.4,44.01312,366.4,111.67872,0.9,0.91,155.7,250.5748608,0.87,0.59,0.47,5.6,4.6,3.9,3.1,3.4,5.4,complete,True,"https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_85,w_800/FH6/FULL_CARS/2001_Acura_Integra_Type-R.png","https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_auto,w_330/FH6/CAR_ICON/2001_Acura_Integra_Type-R.png",787,Acura,,,Integra Type-R,2001 Acura Integra Type-R,2001,RETRO HOT HATCH,COMMON,Autoshow,,FWD,65000,195,130,2639,62,1.8,471,5.6,4.6,3.9,3.1,3.4,5.4,144.4,366.4,6.152,14.506,155.7,0.9,0.91,0.59,0.47,0.87,1776324517000,1779475175000
5978,2002-acura-rsx-type-s,https://forza.labsgg.com/cars/2002-acura-rsx-type-s,2002,Acura,RSX Type-S,2002 Acura RSX Type-S,RETRO HOT HATCH,COMMON,Autoshow,,18000,462,C,FWD,200,202.774,142,192.52644,2820,1279.1304834,2,61,6.666,17.778,141.9,43.25112000000001,359.6,109.60608,0.9,0.92,148.2,238.5047808,0.87,0.6,0.46,5.6,4.7,3.9,3,3.5,5.6,complete,True,"https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_85,w_800/FH6/FULL_CARS/2002_Acura_RSX_Type-S.png","https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_auto,w_330/FH6/CAR_ICON/2002_Acura_RSX_Type-S.png",5978,Acura,,,RSX Type-S,2002 Acura RSX Type-S,2002,RETRO HOT HATCH,COMMON,Autoshow,,FWD,18000,200,142,2820,61,2,462,5.6,4.7,3.9,3,3.5,5.6,141.9,359.6,6.666,17.778,148.2,0.9,0.92,0.6,0.46,0.87,1777888390000,1779475175000
788,2022-acura-nsx-type-s,https://forza.labsgg.com/cars/2022-acura-nsx-type-s,2022,Acura,NSX Type S,2022 Acura NSX Type S,MODERN SUPER CARS,EPIC,Wrist Band Event,Mech My Day,183350,734,S1,AWD,600,608.322,492,667.06344,3903,1770.37102011,3.49,42,2.833,6.495,89.5,27.279600000000002,223.5,68.1228,1.09,1.16,203.7,327.8233728,0.81,0.61,0.37,7.3,6.2,8.7,7.7,6.9,5.4,complete,True,"https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_85,w_800/FH6/FULL_CARS/2022_Acura_NSX_Type_S.png","https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_auto,w_330/FH6/CAR_ICON/2022_Acura_NSX_Type_S.png",788,Acura,,,NSX Type S,2022 Acura NSX Type S,2022,MODERN SUPER CARS,EPIC,Wrist Band Event,Mech My Day,AWD,183350,600,492,3903,42,3.49,734,7.3,6.2,8.7,7.7,6.9,5.4,89.5,223.5,2.833,6.495,203.7,1.09,1.16,0.61,0.37,0.81,1776324517000,1779343775000
789,2023-acura-integra-a-spec,https://forza.labsgg.com/cars/2023-acura-integra-a-spec,2023,Acura,Integra A-Spec,2023 Acura Integra A-Spec,HOT HATCH,RARE,Autoshow,,36000,484,C,FWD,200,202.774,192,260.31744000000003,3073,1393.8893530100001,1.5,60,6.899,17.104,137.6,41.94048,347.8,106.00944000000001,0.92,0.96,155.5,250.252992,0.87,0.5,0.45,5.7,4.7,4.2,4.2,3.7,5.5,complete,True,"https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_85,w_800/FH6/FULL_CARS/2023_Acura_Integra_A-Spec.png","https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_auto,w_330/FH6/CAR_ICON/2023_Acura_Integra_A-Spec.png",789,Acura,,,Integra A-Spec,2023 Acura Integra A-Spec,2023,HOT HATCH,RARE,Autoshow,,FWD,36000,200,192,3073,60,1.5,484,5.7,4.7,4.2,4.2,3.7,5.5,137.6,347.8,6.899,17.104,155.5,0.92,0.96,0.5,0.45,0.87,1776324517000,1779475195000
5979,1965-alfa-romeo-giulia-sprint-gta-stradale,https://forza.labsgg.com/cars/1965-alfa-romeo-giulia-sprint-gta-stradale,1965,Alfa Romeo,Giulia Sprint GTA Stradale,1965 Alfa Romeo Giulia Sprint GTA Stradale,RARE CLASSICS,RARE,Autoshow,,343000,379,D,RWD,115,116.59505,105,142.3611,1676,760.22081212,1.57,54,7.741,23.553,164.4,50.109120000000004,403.7,123.04776,0.81,0.8,114.2,183.78708480000003,0.86,0.48,0,4,3.7,3.7,3.2,2.8,5.3,complete,True,"https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_85,w_800/FH6/FULL_CARS/1965_Alfa_Romeo_Giulia_Sprint_GTA_Stradale.png","https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_auto,w_330/FH6/CAR_ICON/1965_Alfa_Romeo_Giulia_Sprint_GTA_Stradale.png",5979,Alfa Romeo,,,Giulia Sprint GTA Stradale,1965 Alfa Romeo Giulia Sprint GTA Stradale,1965,RARE CLASSICS,RARE,Autoshow,,RWD,343000,115,105,1676,54,1.57,379,4,3.7,3.7,3.2,2.8,5.3,164.4,403.7,7.741,23.553,114.2,0.81,0.8,0.48,0,0.86,1777888390000,1779343741000
790,1965-alfa-romeo-giulia-tz2,https://forza.labsgg.com/cars/1965-alfa-romeo-giulia-tz2,1965,Alfa Romeo,Giulia TZ2,1965 Alfa Romeo Giulia TZ2,CLASSIC RACERS,LEGENDARY,Horizon Festival Journal,"Horizon Promo - Reach 4,500 Horizon Festival Points",1140000,532,B,RWD,168,170.33016,162,219.64284,1367,620.06076979,1.57,54,5.737,13.166,154.4,47.06112,376.5,114.75720000000001,0.92,0.93,152,244.62028800000002,0.9,0.48,0.44,5.5,3.8,4.3,4.4,3.4,5.1,complete,True,"https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_85,w_800/FH6/FULL_CARS/1965_Alfa_Romeo_Giulia_TZ2.png","https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_auto,w_330/FH6/CAR_ICON/1965_Alfa_Romeo_Giulia_TZ2.png",790,Alfa Romeo,,,Giulia TZ2,1965 Alfa Romeo Giulia TZ2,1965,CLASSIC RACERS,LEGENDARY,Horizon Festival Journal,"Horizon Promo - Reach 4,500 Horizon Festival Points",RWD,1140000,168,162,1367,54,1.57,532,5.5,3.8,4.3,4.4,3.4,5.1,154.4,376.5,5.737,13.166,152,0.92,0.93,0.48,0.44,0.9,1776324517000,1779343741000
5980,1968-alfa-romeo-33-stradale,https://forza.labsgg.com/cars/1968-alfa-romeo-33-stradale,1968,Alfa Romeo,33 Stradale,1968 Alfa Romeo 33 Stradale,CLASSIC RACERS,LEGENDARY,Autoshow,,3500000,593,B,RWD,245,248.39815000000002,148,200.66136,1543,699.89302691,2,40,5.418,11.521,146.7,44.71416,358.6,109.30128,0.95,0.94,170.9,275.03688960000005,0.89,0.59,0,6.2,4.4,5.7,4.4,3.6,5,complete,True,"https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_85,w_800/FH6/FULL_CARS/1968_Alfa_Romeo_33_Stradale.png","https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_auto,w_330/FH6/CAR_ICON/1968_Alfa_Romeo_33_Stradale.png",5980,Alfa Romeo,,,33 Stradale,1968 Alfa Romeo 33 Stradale,1968,CLASSIC RACERS,LEGENDARY,Autoshow,,RWD,3500000,245,148,1543,40,2,593,6.2,4.4,5.7,4.4,3.6,5,146.7,358.6,5.418,11.521,170.9,0.95,0.94,0.59,0,0.89,1777888390000,1779343742000
791,1990-alfa-romeo-se-048sp,https://forza.labsgg.com/cars/1990-alfa-romeo-se-048sp,1990,Alfa Romeo,SE 048SP,1990 Alfa Romeo SE 048SP,RETRO RACERS,LEGENDARY,Car Pack,Italian Passion Car Pack,950000,978,R,RWD,680,689.4316,320,433.8624,1819,825.08452103,3.5,46,2.6,4.7,62.5,19.05,131.5,40.0812,1.97,2.86,203.2,327.0187008,0.78,0.61,0.4,7.4,9.4,7.7,8.2,10,4.6,complete,True,"https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_85,w_800/FH6/FULL_CARS/1990_Alfa_Romeo_SE_048SP.png","https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_auto,w_330/FH6/CAR_ICON/1990_Alfa_Romeo_SE_048SP.png",791,Alfa Romeo,,,SE 048SP,1990 Alfa Romeo SE 048SP,1990,RETRO RACERS,LEGENDARY,Car Pack,Italian Passion Car Pack,RWD,950000,680,320,1819,46,3.5,978,7.4,9.4,7.7,8.2,10,4.6,62.5,131.5,2.6,4.7,203.2,1.97,2.86,0.61,0.4,0.78,1776324517000,1783947275000
5981,1992-alfa-romeo-155-q4,https://forza.labsgg.com/cars/1992-alfa-romeo-155-q4,1992,Alfa Romeo,155 Q4,1992 Alfa Romeo 155 Q4,RETRO SUPER SALOONS,EPIC,Autoshow,,30000,439,C,AWD,187,189.59369,219,296.92458,3186,1445.1452908200001,2,61,6.632,18.346,146.4,44.62272,370.3,112.86744000000002,0.87,0.9,135.1,217.4223744,0.82,0.45,0.52,4.8,4.6,3.9,4.2,3.3,5.7,complete,True,"https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_85,w_800/FH6/FULL_CARS/1992_Alfa_Romeo_155_Q4.png","https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_auto,w_330/FH6/CAR_ICON/1992_Alfa_Romeo_155_Q4.png",5981,Alfa Romeo,,,155 Q4,1992 Alfa Romeo 155 Q4,1992,RETRO SUPER SALOONS,EPIC,Autoshow,,AWD,30000,187,219,3186,61,2,439,4.8,4.6,3.9,4.2,3.3,5.7,146.4,370.3,6.632,18.346,135.1,0.87,0.9,0.45,0.52,0.82,1777888390000,1779475170000
5982,2007-alfa-romeo-8c-competizione,https://forza.labsgg.com/cars/2007-alfa-romeo-8c-competizione,2007,Alfa Romeo,8C Competizione,2007 Alfa Romeo 8C Competizione,GT CARS,EPIC,Autoshow,,312000,635,A,RWD,450,456.24150000000003,354,479.96028,3495,1585.30533315,4.69,49,4.155,9.182,123.8,37.73424,302.5,92.202,0.97,1.03,193.5,311.408064,0.85,0.53,0.37,7,5.3,5.4,5.5,4.9,5.2,complete,True,"https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_85,w_800/FH6/FULL_CARS/2007_Alfa_Romeo_8C_Competizione.png","https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_auto,w_330/FH6/CAR_ICON/2007_Alfa_Romeo_8C_Competizione.png",5982,Alfa Romeo,,,8C Competizione,2007 Alfa Romeo 8C Competizione,2007,GT CARS,EPIC,Autoshow,,RWD,312000,450,354,3495,49,4.69,635,7,5.3,5.4,5.5,4.9,5.2,123.8,302.5,4.155,9.182,193.5,0.97,1.03,0.53,0.37,0.85,1777888390000,1779343757000
5983,2014-alfa-romeo-4c,https://forza.labsgg.com/cars/2014-alfa-romeo-4c,2014,Alfa Romeo,4C,2014 Alfa Romeo 4C,MODERN SPORTS CARS,EPIC,Autoshow,,73000,644,A,RWD,240,243.3288,238,322.68516,2072,939.84339064,1.74,41,4.306,10.38,122.2,37.24656,301.1,91.77528000000001,1.02,1.12,161.3,259.5871872,0.87,0.59,0.33,5.9,5.7,4.8,7,5.2,5,complete,True,"https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_85,w_800/FH6/FULL_CARS/2014_Alfa_Romeo_4C.png","https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_auto,w_330/FH6/CAR_ICON/2014_Alfa_Romeo_4C.png",5983,Alfa Romeo,,,4C,2014 Alfa Romeo 4C,2014,MODERN SPORTS CARS,EPIC,Autoshow,,RWD,73000,240,238,2072,41,1.74,644,5.9,5.7,4.8,7,5.2,5,122.2,301.1,4.306,10.38,161.3,1.02,1.12,0.59,0.33,0.87,1777888390000,1779343763000
5984,2017-alfa-romeo-giulia-quadrifoglio,https://forza.labsgg.com/cars/2017-alfa-romeo-giulia-quadrifoglio,2017,Alfa Romeo,Giulia Quadrifoglio,2017 Alfa Romeo Giulia Quadrifoglio,MODERN SUPER SALOONS,RARE,Autoshow,,45000,667,A,RWD,506,513.01822,442,599.27244,3749,1700.5177951300002,2.89,50,3.758,8.589,97.3,29.657040000000002,233,71.0184,1.07,1.14,198.8,319.93758720000005,0.85,0.5,0.38,7.3,6.4,5.9,4.9,6.7,5,complete,True,"https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_85,w_800/FH6/FULL_CARS/2017_Alfa_Romeo_Giulia_Quadrifoglio.png","https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_auto,w_330/FH6/CAR_ICON/2017_Alfa_Romeo_Giulia_Quadrifoglio.png",5984,Alfa Romeo,,,Giulia Quadrifoglio,2017 Alfa Romeo Giulia Quadrifoglio,2017,MODERN SUPER SALOONS,RARE,Autoshow,,RWD,45000,506,442,3749,50,2.89,667,7.3,6.4,5.9,4.9,6.7,5,97.3,233,3.758,8.589,198.8,1.07,1.14,0.5,0.38,0.85,1777888390000,1779343767000
792,2021-alfa-romeo-giulia-gtam,https://forza.labsgg.com/cars/2021-alfa-romeo-giulia-gtam,2021,Alfa Romeo,Giulia GTAm,2021 Alfa Romeo Giulia GTAm,MODERN SUPER SALOONS,RARE,Car Pack,Italian Passion Car Pack,213750,711,S1,RWD,540,547.4898000000001,442,599.27244,3483,1579.8622247100002,2.89,54,4.225,8.28,96,29.260800000000003,228.2,69.55536,1.1,1.19,186.9,300.78639360000005,0.79,0.46,0.39,6.9,6.3,5.5,5.9,7.2,4.6,complete,True,"https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_85,w_800/FH6/FULL_CARS/2021_Alfa_Romeo_Giulia_GTAm.png","https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_auto,w_330/FH6/CAR_ICON/2021_Alfa_Romeo_Giulia_GTAm.png",792,Alfa Romeo,,,Giulia GTAm,2021 Alfa Romeo Giulia GTAm,2021,MODERN SUPER SALOONS,RARE,Car Pack,Italian Passion Car Pack,RWD,213750,540,442,3483,54,2.89,711,6.9,6.3,5.5,5.9,7.2,4.6,96,228.2,4.225,8.28,186.9,1.1,1.19,0.46,0.39,0.79,1776324517000,1783947276000
793,2015-alumicraft-class-10-race-car,https://forza.labsgg.com/cars/2015-alumicraft-class-10-race-car,2015,Alumicraft,Class 10 Race Car,2015 Alumicraft Class 10 Race Car,UNLIMITED BUGGIES,EPIC,Autoshow,,45000,532,B,RWD,195,197.70465000000002,190,257.6058,2200,997.903214,2.38,45,4.877,15.674,137.3,41.84904,335.6,102.29088000000002,0.91,0.91,119,191.51193600000002,0.72,0.48,0,4.4,3.7,5,4.1,4.8,10,complete,True,"https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_85,w_800/FH6/FULL_CARS/2015_Alumicraft_Class_10_Race_Car.png","https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_auto,w_330/FH6/CAR_ICON/2015_Alumicraft_Class_10_Race_Car.png",793,Alumicraft,,,Class 10 Race Car,2015 Alumicraft Class 10 Race Car,2015,UNLIMITED BUGGIES,EPIC,Autoshow,,RWD,45000,195,190,2200,45,2.38,532,4.4,3.7,5,4.1,4.8,10,137.3,335.6,4.877,15.674,119,0.91,0.91,0.48,0,0.72,1776324517000,1779475183000
794,2021-alumicraft-122-class-1-buggy,https://forza.labsgg.com/cars/2021-alumicraft-122-class-1-buggy,2021,Alumicraft,#122 Class 1 Buggy,2021 Alumicraft #122 Class 1 Buggy,UNLIMITED BUGGIES,EPIC,Autoshow,,160000,571,B,RWD,495,501.86565,450,610.119,3750,1700.9713875,6.16,38,2.692,7.14,126.3,38.49624,314.7,95.92056,0.89,0.89,134.9,217.10050560000002,0.54,0.56,0.2,4.9,2.8,6.4,5.3,5.3,9.2,complete,True,"https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_85,w_800/FH6/FULL_CARS/2021_Alumicraft_122_Class_1_Buggy.png","https://res.cloudinary.com/nba2klab/image/upload/f_auto,q_auto,w_330/FH6/CAR_ICON/2021_Alumicraft_122_Class_1_Buggy.png",794,Alumicraft,,,#122 Class 1 Buggy,2021 Alumicraft #122 Class 1 Buggy,2021,UNLIMITED BUGGIES,EPIC,Autoshow,,RWD,160000,495,450,3750,38,6.16,571,4.9,2.8,6.4,5.3,5.3,9.2,126.3,314.7,2.692,7.14,134.9,0.89,0.89,0.56,0.2,0.54,1776324517000,1779475191000
