uid,rosterNo,id,displayName,variantLabel,brand,parodyName,parodyBrand,chassisCode,engineCode,yearFrom,priceYen,priceStatus,bookValueYen,tier,rarity,origin,culture,scope,builtInContent,reliabilityBase,styleBase,aeroCeiling,stockPowerPs,quotedPowerPs,powerRpm,peakTorqueNm,torqueRpm,redlineRpm,displacementCc,engineConfig,aspiration,curbWeightKg,weightDistributionFront,drivetrain,wheelbaseMm,widthMm,heightMm,comHeightMm,dragCd,stockTyre,tyreCompound,topSpeedKmh,lateralG97,lateralG193,braking97To0M,braking161To0M,zeroTo97S,zeroTo161S,measuredFrom,dataConfidence,estimatedFields,tags,specSource,notes,flavour
MG-001,1,,Honda Today (JW1),Honda Today (JW1),Honda,,,,,,100000,researched,,entry,,jdm,Kei,Kei Pack,no,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,forza-fh6-roster-data.csv,No Today in FH6.,
MG-002,2,honda-city-e-aa,Honda City E (AA),Honda City E (AA),Honda,Citee E (AA),Handa,AA,ER,1984,130000,researched,130000,entry,common,jdm,Honest transport,P,yes,99,6,0.30,63,,5000,98,3000,6300,1231,I4,NA,670,60,FF,2220,1570,1470,550,0.4,145SR12,eco,141,0.86,0.97,48.9,,12.514,,forza-panel,MED,rl fr com cd,FF NA Piston 80s JDM,cars.json,"Forza models the later City E II of the same AA generation; power and torque identical, kerb 670 against our 690 kg.",
MG-003,3,nissan-sunny-b12,Nissan Sunny (B12),Nissan Sunny (B12),Nissan,Sunnie (B12),Nissen,B12,GA15S,1987,150000,researched,150000,entry,common,jdm,Honest transport,E,yes,98,7,0.40,85,,6000,123,3600,6500,1497,I4,NA,880,60,FF,2430,1640,1379,500,0.37,165SR13,touring,,,,,,,,modelled,LOW,rl fr com cd kg,FF NA Piston 80s JDM,cars.json,No B12 Sunny in FH6.,
MG-004,4,,Honda Acty (HA4 Truck),Honda Acty (HA4 Truck),Honda,,,,,1994,160000,researched,,entry,,jdm,Kei,L,no,97,,,38,,,54,,,660,,,770,52,AWD,,,,,,,,111.4,0.8,0.8,49.6,,24.64,,,,,,forza-fh6-roster-data.csv,"Same HA4 Acty. Identical throughout. Hand-measured car; it cannot reach 161 km/h, so both 161 km/h measurements are legitimately absent rather than missing.",
MG-005,5,,Nissan March (K10) 1.0,Nissan March (K10) 1.0,Nissan,,,,,,180000,STAND-IN,,entry,,jdm,Honest transport,L,no,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-006,6,,Toyota Corolla 1.5 SE Saloon (AE91),Toyota Corolla 1.5 SE Saloon (AE91),Toyota,,,,,,200000,STAND-IN,,entry,,jdm,Honest transport,L,no,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-007,7,,Mazda Familia 1.5 (BG),Mazda Familia 1.5 (BG),Mazda,,,,,,220000,STAND-IN,,entry,,jdm,Honest transport,L,no,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-008,8,suzuki-wagon-r-ct21s,Suzuki Wagon R (CT21S),Suzuki Wagon R (CT21S),Suzuki,Wagon Q (CT21S),Suzuko,CT21S,F6A,1993,230000,researched,230000,entry,common,jdm,Kei,P,yes,98,4,0.20,55,,7500,57,5500,8000,657,I3,NA,720,63,FF,2335,1395,1680,600,0.36,145/80R12,eco,140,,,,,,,modelled,MED,rl fr com cd,FF NA Piston Kei 90s JDM,cars.json,No Suzuki marque in FH6 at all.,
MG-009,9,,Honda Civic 1.5 (EF3),Honda Civic 1.5 (EF3),Honda,,,,,,240000,STAND-IN,,entry,,jdm,Honest transport,L,no,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-010,10,toyota-carina-at150,Toyota Carina (AT150),Toyota Carina (AT150),Toyota,Carena (AT150),Toyoda,AT150,3A-U,1984,250000,researched,250000,entry,common,jdm,Honest transport,L,yes,100,6,0.40,83,,5600,118,3600,6500,1452,I4,NA,955,60,FF,2500,1670,1365,500,0.38,165SR13,touring,160,,,,,,,modelled,MED,rl fr com cd,FF NA Piston 80s JDM,cars.json,No Carina in FH6.,
MG-011,11,,Daihatsu Mira TR-XX (L70),Daihatsu Mira TR-XX (L70),Daihatsu,,,,,,280000,researched,,entry,,jdm,Kei,L,no,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,forza-fh6-roster-data.csv,No Daihatsu marque in FH6 at all.,
