uid,rosterNo,displayName,column,value,sourceUrl,confidence,notes,applied
MG-001,1,Honda Today (JW1),aspiration,NA,https://en.wikipedia.org/wiki/Honda_Today,MED,Carburettor; no forced induction,yes
MG-001,1,Honda Today (JW1),chassisCode,JW1,https://en.wikipedia.org/wiki/Honda_Today,MED,,yes
MG-001,1,Honda Today (JW1),curbWeightKg,550,https://en.wikipedia.org/wiki/Honda_Today,LOW,Source gives a 550-560kg range for JW1; used the lower bound,yes
MG-001,1,Honda Today (JW1),displacementCc,545,https://en.wikipedia.org/wiki/Honda_E_engine,MED,,yes
MG-001,1,Honda Today (JW1),drivetrain,FF,https://en.wikipedia.org/wiki/Honda_Today,HIGH,File mixes FF/FWD and FR/RWD tokens inconsistently; used FF to match the majority of populated rows,yes
MG-001,1,Honda Today (JW1),engineCode,EH,https://en.wikipedia.org/wiki/Honda_E_engine,MED,First JW1 engine 1985-1988; replaced by E05A in 1988 with different figures,yes
MG-001,1,Honda Today (JW1),engineConfig,I2,https://en.wikipedia.org/wiki/Honda_E_engine,MED,EH is a two-cylinder engine. I2 is outside the file's engineConfig vocabulary (I3/I4/I6/V6/flat-4/rotary-2) - flagging as a new value,yes
MG-001,1,Honda Today (JW1),heightMm,1315,https://en.wikipedia.org/wiki/Honda_Today,HIGH,,yes
MG-001,1,Honda Today (JW1),peakTorqueNm,43,https://en.wikipedia.org/wiki/Honda_E_engine,MED,,yes
MG-001,1,Honda Today (JW1),powerRpm,5500,https://en.wikipedia.org/wiki/Honda_E_engine,MED,,yes
MG-001,1,Honda Today (JW1),quotedPowerPs,31,https://en.wikipedia.org/wiki/Honda_E_engine,MED,Same figure as stockPowerPs; source does not separate brochure vs measured; car this small was never near the 280PS ceiling,yes
MG-001,1,Honda Today (JW1),stockPowerPs,31,https://en.wikipedia.org/wiki/Honda_E_engine,MED,Source states 30.9 PS; rounded to match the file's integer convention,yes
MG-001,1,Honda Today (JW1),styleBase,7,,SUGGESTION,Honest rounded 80s kei box; competent but unremarkable styling,yes
MG-001,1,Honda Today (JW1),torqueRpm,4000,https://en.wikipedia.org/wiki/Honda_E_engine,MED,,yes
MG-001,1,Honda Today (JW1),wheelbaseMm,2330,https://en.wikipedia.org/wiki/Honda_Today,HIGH,,yes
MG-001,1,Honda Today (JW1),widthMm,1395,https://en.wikipedia.org/wiki/Honda_Today,HIGH,,yes
MG-002,2,Honda City E (AA),quotedPowerPs,63,https://www.automobile-catalog.com/car/1981/1092110/honda_city_e_hondamatic.html,MED,Matches existing stockPowerPs/powerRpm exactly; predates the era when any advertising ceiling applied,yes
MG-003,3,Nissan Sunny (B12),quotedPowerPs,85,https://en.wikipedia.org/wiki/Nissan_GA_engine,HIGH,GA15S catalog figure exactly matches existing stockPowerPs/powerRpm/peakTorqueNm/torqueRpm already in the row,yes
MG-004,4,Honda Acty (HA4 Truck),aspiration,NA,https://en.wikipedia.org/wiki/Honda_Acty,HIGH,Carburetted version; a fuel-injected 44PS variant of the same E07A also existed,yes
MG-004,4,Honda Acty (HA4 Truck),chassisCode,HA4,https://en.wikipedia.org/wiki/Honda_Acty,HIGH,,yes
MG-004,4,Honda Acty (HA4 Truck),engineCode,E07A,https://en.wikipedia.org/wiki/Honda_Acty,HIGH,Carburetted E07A matches existing stockPowerPs=38 and peakTorqueNm=54 exactly,yes
MG-004,4,Honda Acty (HA4 Truck),engineConfig,I3,https://en.wikipedia.org/wiki/Honda_Acty,HIGH,,yes
MG-004,4,Honda Acty (HA4 Truck),heightMm,1700,https://en.wikipedia.org/wiki/Honda_Acty,LOW,Source gives a 1700-1750mm range for truck bodies; used the lower bound,yes
MG-004,4,Honda Acty (HA4 Truck),powerRpm,5300,https://en.wikipedia.org/wiki/Honda_Acty,HIGH,,yes
MG-004,4,Honda Acty (HA4 Truck),quotedPowerPs,38,https://en.wikipedia.org/wiki/Honda_Acty,HIGH,Same source and figure as stockPowerPs,yes
MG-004,4,Honda Acty (HA4 Truck),styleBase,4,,SUGGESTION,Cab-over kei flatbed truck; purely utilitarian with no styling intent,yes
MG-004,4,Honda Acty (HA4 Truck),torqueRpm,4500,https://en.wikipedia.org/wiki/Honda_Acty,HIGH,,yes
MG-004,4,Honda Acty (HA4 Truck),wheelbaseMm,1900,https://en.wikipedia.org/wiki/Honda_Acty,MED,,yes
MG-004,4,Honda Acty (HA4 Truck),widthMm,1395,https://en.wikipedia.org/wiki/Honda_Acty,MED,,yes
MG-005,5,Nissan March (K10) 1.0,aspiration,NA,https://en.wikipedia.org/wiki/Nissan_March,HIGH,,yes
MG-005,5,Nissan March (K10) 1.0,chassisCode,K10,https://en.wikipedia.org/wiki/Nissan_March,HIGH,,yes
MG-005,5,Nissan March (K10) 1.0,curbWeightKg,700,https://www.auto-data.net/en/nissan-march-k10-1.0-50hp-588,MED,Wikipedia separately gives 635kg for a European trim; used the JDM-named listing's figure,yes
MG-005,5,Nissan March (K10) 1.0,displacementCc,987,https://en.wikipedia.org/wiki/Nissan_March,MED,A separate source (auto-data.net) gives 998cc for the same MA10S engine; used Wikipedia's figure,yes
MG-005,5,Nissan March (K10) 1.0,dragCd,0.39,https://japanesenostalgiccar.com/masahiro-kondo-nissan-march-k10-restoration/,MED,,yes
MG-005,5,Nissan March (K10) 1.0,drivetrain,FF,https://en.wikipedia.org/wiki/Nissan_March,HIGH,File mixes FF/FWD and FR/RWD tokens inconsistently,yes
MG-005,5,Nissan March (K10) 1.0,engineCode,MA10S,https://en.wikipedia.org/wiki/Nissan_March,MED,,yes
MG-005,5,Nissan March (K10) 1.0,engineConfig,I4,https://en.wikipedia.org/wiki/Nissan_March,HIGH,,yes
MG-005,5,Nissan March (K10) 1.0,heightMm,1395,https://en.wikipedia.org/wiki/Nissan_March,HIGH,,yes
MG-005,5,Nissan March (K10) 1.0,peakTorqueNm,75,https://en.wikipedia.org/wiki/Nissan_March,MED,,yes
MG-005,5,Nissan March (K10) 1.0,powerRpm,6000,https://www.auto-data.net/en/nissan-march-k10-1.0-50hp-588,MED,,yes
MG-005,5,Nissan March (K10) 1.0,quotedPowerPs,52,https://www.auto-data.net/en/nissan-march-k10-1.0-50hp-588,MED,Same figure as stockPowerPs,yes
MG-005,5,Nissan March (K10) 1.0,stockPowerPs,52,https://www.auto-data.net/en/nissan-march-k10-1.0-50hp-588,MED,JDM-named listing; Wikipedia cites 55PS for a European high-compression version of the same MA10S,yes
MG-005,5,Nissan March (K10) 1.0,styleBase,10,,SUGGESTION,Pininfarina-styled; a genuinely charming jellybean shape still fondly remembered for its class and era,yes
MG-005,5,Nissan March (K10) 1.0,torqueRpm,3600,https://en.wikipedia.org/wiki/Nissan_March,MED,,yes
MG-005,5,Nissan March (K10) 1.0,wheelbaseMm,2300,https://en.wikipedia.org/wiki/Nissan_March,HIGH,,yes
MG-005,5,Nissan March (K10) 1.0,widthMm,1560,https://en.wikipedia.org/wiki/Nissan_March,HIGH,,yes
MG-005,5,Nissan March (K10) 1.0,yearFrom,1982,https://en.wikipedia.org/wiki/Nissan_March,HIGH,Launched October 1982,yes
MG-006,6,Toyota Corolla 1.5 SE Saloon (AE91),aspiration,NA,https://www.carfolio.com/toyota-corolla-1500-se-320100,HIGH,,yes
MG-006,6,Toyota Corolla 1.5 SE Saloon (AE91),chassisCode,AE91,https://www.carfolio.com/toyota-corolla-1500-se-320100,HIGH,Model code shown as E-AE91-AEMEU,yes
MG-006,6,Toyota Corolla 1.5 SE Saloon (AE91),curbWeightKg,950,https://www.carfolio.com/toyota-corolla-1500-se-320100,HIGH,,yes
MG-006,6,Toyota Corolla 1.5 SE Saloon (AE91),displacementCc,1498,https://www.carfolio.com/toyota-corolla-1500-se-320100,HIGH,,yes
MG-006,6,Toyota Corolla 1.5 SE Saloon (AE91),drivetrain,FF,https://www.carfolio.com/toyota-corolla-1500-se-320100,HIGH,File mixes FF/FWD and FR/RWD tokens inconsistently,yes
